,January,February,District,Year,Oct_District,October,Oct_Year,November,December
186,0.3482788,0.3043316,DAUSA,2010,DAUSA,0.2370562,2010,0.1929382,0.2677268
187,0.3482788,0.3043316,DAUSA,2010,DAUSA,0.2370562,2010,0.1929382,0.2677268
188,0.353005,0.3946945,DAUSA,2011,DAUSA,0.2168874,2011,0.207704,0.2665134
189,0.3322634,0.3045752,DAUSA,2012,DAUSA,0.2763164,2012,0.2086667,0.2468823
190,0.3269643,0.3642269,DAUSA,2013,DAUSA,0.250425,2013,0.2223677,0.2950513
191,0.3727319,0.3939912,DAUSA,2014,DAUSA,0.2246999,2014,0.2206928,0.2829729
192,0.3571841,0.3535049,DAUSA,2015,DAUSA,0.1991432,2015,0.1759773,0.2581324
193,0.3195685,0.3127956,DAUSA,2016,DAUSA,0.2112724,2016,0.2134053,0.283437
194,0.3541213,0.3319436,DAUSA,2017,DAUSA,0.1866192,2017,0.1797724,0.250106
195,0.3051965,0.3001398,DAUSA,2018,DAUSA,0.2418035,2018,0.2013413,0.2711375
196,0.3278683,0.3533693,DAUSA,2019,DAUSA,0.2254311,2019,0.2101491,0.289606
197,0.1551681,0.1488789,DUNGARPUR,2001,DUNGARPUR,0.2215176,2001,0.1786179,0.1663972
198,0.1703076,0.1696872,DUNGARPUR,2002,DUNGARPUR,0.2268428,2002,0.1644515,0.1512178
199,0.147946,0.1359683,DUNGARPUR,2003,DUNGARPUR,0.2675202,2003,0.1967616,0.1807714
200,0.1927581,0.1866192,DUNGARPUR,2004,DUNGARPUR,0.2841343,2004,0.2186021,0.181712
201,0.1933608,0.1900898,DUNGARPUR,2005,DUNGARPUR,0.335612,2005,0.2140602,0.1914947
202,0.1923702,0.1808016,DUNGARPUR,2006,DUNGARPUR,0.2985491,2006,0.2136381,0.2027695
203,0.2142058,0.2053591,DUNGARPUR,2007,DUNGARPUR,0.3325001,2007,0.2252613,0.1952605
204,0.2103812,0.2055279,DUNGARPUR,2008,DUNGARPUR,0.2536253,2008,0.1944728,0.1847363
205,0.1814327,0.1550295,DUNGARPUR,2009,DUNGARPUR,0.2705723,2009,0.1989619,0.1990844
206,0.2236631,0.1956093,DUNGARPUR,2010,DUNGARPUR,0.3264083,2010,0.2271013,0.2184188
207,0.2236631,0.1956093,DUNGARPUR,2010,DUNGARPUR,0.3264083,2010,0.2271013,0.2184188
208,0.2236631,0.1956093,DUNGARPUR,2010,DUNGARPUR,0.3264083,2010,0.2271013,0.2184188
209,0.2236631,0.1956093,DUNGARPUR,2010,DUNGARPUR,0.3264083,2010,0.2271013,0.2184188
210,0.2219125,0.2162154,DUNGARPUR,2011,DUNGARPUR,0.3376199,2011,0.2363586,0.2106872
211,0.2281822,0.2282866,DUNGARPUR,2012,DUNGARPUR,0.373702,2012,0.2311126,0.2069327
212,0.2242405,0.2366291,DUNGARPUR,2013,DUNGARPUR,0.3634351,2013,0.2721847,0.2245517
213,0.2438677,0.2656026,DUNGARPUR,2014,DUNGARPUR,0.3189894,2014,0.2388109,0.2200042
214,0.2275066,0.2172765,DUNGARPUR,2015,DUNGARPUR,0.3172141,2015,0.2373995,0.2055789
215,0.2175913,0.2171106,DUNGARPUR,2016,DUNGARPUR,0.3599004,2016,0.2455647,0.2180722
216,0.2384945,0.2285927,DUNGARPUR,2017,DUNGARPUR,0.3301646,2017,0.2427004,0.224733
217,0.2527726,0.2309625,DUNGARPUR,2018,DUNGARPUR,0.3808431,2018,0.2597718,0.2195445
218,0.2220471,0.2325187,DUNGARPUR,2019,DUNGARPUR,0.3773589,2019,0.2961342,0.2496849
219,0.1638639,0.1992835,GANGANAGAR,2001,GANGANAGAR,0.1518668,2001,0.119735,0.139598
220,0.194329,0.2381146,GANGANAGAR,2002,GANGANAGAR,0.1189067,2002,0.1008648,0.1240317
221,0.1602011,0.2298012,GANGANAGAR,2003,GANGANAGAR,0.1459293,2003,0.1312328,0.1591981
222,0.2129671,0.2675323,GANGANAGAR,2004,GANGANAGAR,0.1280376,2004,0.1109654,0.1504123
223,0.2125913,0.2628795,GANGANAGAR,2005,GANGANAGAR,0.1513626,2005,0.1392003,0.1542737
224,0.2077684,0.2749042,GANGANAGAR,2006,GANGANAGAR,0.1397787,2006,0.1345425,0.1796166
225,0.2315626,0.2988641,GANGANAGAR,2007,GANGANAGAR,0.1627469,2007,0.1369498,0.1751221
226,0.2241252,0.2532907,GANGANAGAR,2008,GANGANAGAR,0.146636,2008,0.1359422,0.2053443
227,0.2724937,0.3082819,GANGANAGAR,2009,GANGANAGAR,0.1522408,2009,0.1208749,0.1464065
228,0.2085705,0.251839,GANGANAGAR,2010,GANGANAGAR,0.1804892,2010,0.1636756,0.2022033
229,0.2085705,0.251839,GANGANAGAR,2010,GANGANAGAR,0.1804892,2010,0.1636756,0.2022033
230,0.2085705,0.251839,GANGANAGAR,2010,GANGANAGAR,0.1804892,2010,0.1636756,0.2022033
231,0.2085705,0.251839,GANGANAGAR,2010,GANGANAGAR,0.1804892,2010,0.1636756,0.2022033
232,0.2599128,0.3422685,GANGANAGAR,2011,GANGANAGAR,0.2147182,2011,0.1754295,0.1949947
233,0.217322,0.2800894,GANGANAGAR,2012,GANGANAGAR,0.2278085,2012,0.1430209,0.1554469
234,0.2155515,0.3287193,GANGANAGAR,2013,GANGANAGAR,0.2025231,2013,0.1306855,0.1922386
235,0.2436539,0.3349965,GANGANAGAR,2014,GANGANAGAR,0.2072428,2014,0.1290314,0.1696865
236,0.2288434,0.2990035,GANGANAGAR,2015,GANGANAGAR,0.1853318,2015,0.1328391,0.2037147
237,0.294663,0.3174393,GANGANAGAR,2016,GANGANAGAR,0.1924369,2016,0.1307968,0.1834034
238,0.2720676,0.3101812,GANGANAGAR,2017,GANGANAGAR,0.1650181,2017,0.1121903,0.1708617
239,0.2740643,0.3148358,GANGANAGAR,2018,GANGANAGAR,0.1621278,2018,0.1286758,0.2096269
